AI Model,Topic,Prompt,Level,Follow-up/Variation
ChatGPT,Introduction to Medical Imaging,"What is Medical Imaging and why is it important?","Beginner","Can you give examples of how Medical Imaging is used in diagnosing diseases?"
ChatGPT,X-ray Imaging,"Can you explain the basic principles of X-ray imaging?","Beginner","What are the safety precautions when using X-ray imaging?"
ChatGPT,Types of Medical Imaging,"What are the different types of Medical Imaging techniques?","Beginner","Which imaging technique is best for soft tissue visualization?"
ChatGPT,MRI,"How does an MRI machine work?","Beginner","What are the advantages of MRI over other imaging techniques?"
ChatGPT,Contrast Agents,"What is the role of contrast agents in Medical Imaging?","Beginner","Are there any risks associated with using contrast agents?"
ChatGPT,Ultrasound Imaging,"What is ultrasound imaging and how is it used in medicine?","Beginner","Can you explain how ultrasound is used in prenatal care?"
ChatGPT,PET Scans,"What is a PET scan and what does it measure?","Beginner","How does a PET scan differ from a CT scan?"
ChatGPT,Radiation Safety,"Why is radiation safety important in Medical Imaging?","Beginner","What measures are taken to protect patients from radiation exposure?"
ChatGPT,Image Interpretation,"How do radiologists interpret Medical Images?","Beginner","What are some common signs of disease in X-ray images?"
ChatGPT,Telemedicine,"How is Medical Imaging used in telemedicine?","Beginner","What are the benefits and challenges of using Medical Imaging in remote healthcare?"
ChatGPT,Mammography,"What is mammography and why is it important for women's health?","Beginner","How often should women get mammograms?"
ChatGPT,Fluoroscopy,"What is fluoroscopy and how is it used in medical procedures?","Beginner","What are the risks associated with fluoroscopy?"
ChatGPT,Pediatric Imaging,"How is Medical Imaging different for children compared to adults?","Beginner","What special considerations are taken when imaging pediatric patients?"
ChatGPT,Interventional Radiology,"What is interventional radiology and what procedures does it involve?","Beginner","How has interventional radiology changed patient care?"
ChatGPT,Preparing for Imaging Tests,"How should patients prepare for common Medical Imaging tests?","Beginner","What are the do's and don'ts before an MRI scan?"
ChatGPT,Nuclear Medicine,"What is nuclear medicine and how does it differ from other imaging techniques?","Beginner","What are some common nuclear medicine procedures?"
ChatGPT,Imaging in Emergency Medicine,"How is Medical Imaging used in emergency medicine?","Beginner","What imaging tests are typically performed in trauma cases?"
Grok,2D vs 3D Imaging,"What are the key differences between 2D and 3D Medical Imaging?","Intermediate","How does 3D imaging improve diagnostic accuracy?"
Grok,Image Resolution,"How does image resolution affect diagnostic accuracy in radiology?","Intermediate","What factors influence image resolution in different imaging modalities?"
